model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,accuracy_no_contextual,accuracy_contextual,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
all_ones,0.000,0.501,0.500,0.000,0.000,0.334,0.000,1.000,0.334,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
all_zeros,0.800,0.000,0.500,0.000,0.666,0.000,1.000,0.000,0.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
random_classifier,0.677,0.278,0.479,-0.043,0.653,0.302,0.702,0.257,0.553,0.275,0.189,0.258,0.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_1_gram,0.840,0.591,0.702,0.455,0.783,0.730,0.908,0.497,0.771,0.528,0.378,0.601,0.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
tfidf+svc_3_gram,0.834,0.537,0.673,0.413,0.762,0.731,0.922,0.425,0.756,0.451,0.324,0.511,0.264,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
fast_text+svc,0.804,0.558,0.675,0.367,0.774,0.611,0.836,0.514,0.729,0.528,0.459,0.584,0.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s42_lr1e-05_ep20,0.810,0.579,0.688,0.392,0.785,0.623,0.836,0.541,0.738,0.595,0.329,0.707,0.232,0.562,0.278,0.671,0.251,0.361,0.193,0.440,0.270,0.452,0.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_hard_s42_lr1e-05_ep20_aug,0.801,0.617,0.712,0.418,0.812,0.601,0.790,0.633,0.738,0.669,0.493,0.716,0.480,0.626,0.293,0.717,0.257,0.450,0.279,0.484,0.295,0.600,0.297,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-0_no_context_soft_s42_lr1e-05_ep20,0.835,0.648,0.737,0.484,0.819,0.677,0.852,0.622,0.775,0.655,0.493,0.698,0.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.338,0.323,0.167,0.178,0.059,0.543,1.411,0.599,0.287,0.241
stereohoax-beto-0_no_context_soft_s42_lr2e-05_ep20,0.831,0.618,0.716,0.455,0.801,0.677,0.864,0.569,0.766,0.634,0.315,0.685,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.343,0.317,0.188,0.139,0.066,0.533,1.266,0.623,0.246,0.203
