index,stereo,stereo_pred,softmax_confidence
7724,1,0,0.7505913
7340,1,1,0.98622787
8347,0,0,0.66636086
5203,0,0,0.92046565
5591,0,0,0.8140144
5138,1,0,0.7329602
4039,0,0,0.62613714
5673,0,1,0.43452123
7308,1,0,0.7693453
7454,1,0,0.5873885
7430,1,1,0.9833601
7702,1,1,0.1826764
70,0,0,0.9534949
5563,0,0,0.97130907
51,0,0,0.92496186
7561,0,0,0.86320186
4342,1,1,0.882697
5558,0,1,0.13261767
7697,0,0,0.96307427
7731,1,0,0.012248934
7733,1,0,0.33073795
998,0,0,0.7072215
5676,0,0,0.93600774
4178,0,0,0.36848366
7617,1,0,0.9481168
7311,1,1,0.7774875
5652,1,1,0.8247521
5199,0,0,0.87745374
7462,0,0,0.9580159
4314,1,1,0.7700683
7738,0,0,0.30219182
7532,0,0,0.8853581
5546,0,0,0.53646696
965,0,0,0.769826
7665,1,1,0.95791566
5642,1,1,0.91769856
5696,0,0,0.8975884
4270,0,1,0.63395
4274,0,0,0.7127179
7514,1,1,0.6376507
31,0,1,0.364051
7437,0,1,0.9410967
5794,0,0,0.9755795
7720,1,1,0.9554753
4148,0,0,0.60879004
7445,1,1,0.3880902
5765,0,0,0.97146976
7629,0,0,0.9284207
4307,0,0,0.8649256
4190,1,0,0.8651519
4158,0,0,0.92389894
5608,0,1,0.029582947
7457,0,1,0.46710697
5188,0,1,0.48030972
7510,1,1,0.85519934
5659,0,0,0.51700604
967,0,0,0.014133662
5649,0,0,0.1626237
5745,0,0,0.9097292
4266,1,0,0.20231736
5767,0,0,0.9061203
4286,0,1,0.32627645
3891,0,1,0.6189667
7735,1,1,0.7900102
4240,1,0,0.5425843
8215,0,0,0.96577954
4316,0,0,0.12536287
4269,1,0,0.19781783
3893,0,0,0.63170445
4287,1,1,0.47530743
7465,1,0,0.9035555
5598,0,0,0.61699927
7602,1,0,0.02192247
5566,0,0,0.94802344
4303,0,0,0.09908673
5623,0,0,0.44258305
59,0,0,0.9721092
5169,0,0,0.07105369
4257,0,1,0.41420054
5807,0,0,0.7353625
5133,1,1,0.5084993
4138,1,0,0.627823
23,1,1,0.11327687
5692,0,0,0.9517031
7416,0,0,0.95966136
5592,0,1,0.32532617
5155,0,0,0.8871342
4211,1,1,0.9669398
5731,0,0,0.68909097
4331,0,1,0.9235785
5533,1,1,0.9546194
5688,0,0,0.5665848
4119,0,0,0.9511558
5632,0,0,0.748382
8223,0,0,0.9656976
7415,0,0,0.41200507
7493,1,0,0.4992306
5813,1,0,0.80130196
8232,0,0,0.83279395
4339,0,0,0.9347473
49,1,0,0.14227855
4109,1,1,0.51981187
7714,1,1,0.60383725
7451,0,0,0.8983166
955,0,0,0.8955907
5684,1,0,0.19885808
10,1,0,0.21368808
5640,1,1,0.95005333
4172,1,0,0.81508523
5785,0,0,0.87892747
5650,0,1,0.5640304
7741,1,1,0.94795537
5165,1,1,0.927963
7352,0,0,0.2066113
7639,0,0,0.96585417
7581,1,0,0.9280493
7613,1,0,0.7734287
975,1,1,0.5734335
962,0,0,0.8163411
5550,0,0,0.88868976
7695,1,0,0.93626654
7328,0,1,0.22075787
7706,1,1,0.803393
5695,0,1,0.7863393
4272,1,0,0.9020754
4245,0,1,0.6041664
7507,0,1,0.020690799
4279,0,0,0.2149411
4289,0,0,0.93488914
5156,0,0,0.78951824
5768,0,0,0.9653059
5541,0,0,0.28917718
5554,0,0,0.8292124
4288,0,0,0.8283169
5200,0,0,0.95206
957,1,0,0.684557
7356,1,1,0.9858605
5163,0,0,0.8905765
4276,0,0,0.7091325
5600,0,0,0.8353497
4198,1,1,0.55802596
39,0,0,0.5594159
30,0,0,0.9350457
7358,1,1,0.7448591
4101,0,0,0.14128132
54,0,0,0.8943802
7644,0,0,0.38798764
7654,1,0,0.10084361
5634,1,0,0.67690015
7732,0,0,0.48663464
7670,1,1,0.5951751
3,1,1,0.055985957
7678,1,1,0.35314247
4224,0,0,0.6649833
7679,1,1,0.0015441477
7540,1,1,0.7854095
7324,0,0,0.97558796
7417,1,0,0.021480888
4154,0,0,0.7867492
58,1,1,0.8026295
63,0,0,0.9549625
5531,0,0,0.805888
4313,0,1,0.12599829
997,1,1,0.9436811
5607,0,0,0.71933603
8251,0,0,0.8820347
4195,0,1,0.4215666
5583,0,0,0.9618552
4322,0,0,0.948864
5804,0,0,0.66437566
4217,0,0,0.560994
4299,1,0,0.48101017
4312,0,1,0.06704223
4330,0,1,0.34534857
4253,0,0,0.4924108
66,0,0,0.2675829
4260,0,0,0.79188704
67,1,1,0.124522895
5624,0,1,0.13171887
12,0,0,0.88255596
7333,1,0,0.387472
5679,0,1,0.96286047
5537,1,0,0.9816407
5637,1,0,0.9384376
5702,0,0,0.51823795
5805,0,0,0.6586698
4164,1,1,0.5530973
4292,1,1,0.69156605
7359,1,0,0.5715778
5751,0,1,0.6144047
7685,0,1,0.80436724
4179,1,1,0.5290452
7317,0,0,0.38146862
7335,0,1,0.9037725
7472,1,1,0.49269012
4326,1,1,0.8537251
5729,0,1,0.1927621
2,0,0,0.7792878
5586,0,0,0.96830165
5655,0,1,0.035473496
5661,0,0,0.9199463
7490,1,0,0.33480522
4188,1,0,0.7686634
7516,0,0,0.90250397
8218,0,0,0.89311546
7468,0,0,0.20774147
8217,0,0,0.93882203
5152,0,0,0.7985351
5180,0,1,0.08346248
5268,1,0,0.30935737
5735,0,0,0.98821735
5587,0,0,0.9738823
4278,1,1,0.51839805
5683,0,0,0.80971277
5677,1,1,0.9809294
8230,0,0,0.89795667
8233,0,1,0.48067915
4223,0,0,0.4135784
7439,1,1,0.7980344
7526,1,0,0.7905927
7650,0,0,0.90881234
4227,0,0,0.7632239
7683,1,0,0.08215991
7707,1,0,0.37712386
3890,1,1,0.47468892
5697,0,0,0.34820637
55,0,1,0.31861448
4193,0,1,0.10855898
4046,0,0,0.52281773
5179,1,1,0.7946041
25,0,0,0.9814611
951,1,1,0.96877915
7511,0,0,0.25797614
44,1,0,0.9169537
5694,0,1,0.9369415
5778,0,0,0.9744359
7500,1,0,0.07610807
5809,0,0,0.73617816
7708,1,0,0.57783747
7460,0,0,0.8329077
5646,0,0,0.8491504
7414,0,0,0.732865
4324,0,1,0.32278526
4301,1,1,0.7968184
7649,0,0,0.9491408
5205,0,1,0.36517385
7674,0,0,0.8111105
4236,0,1,0.16870055
5582,0,1,0.5975168
7401,0,1,0.031343907
4189,0,0,0.7925663
4334,0,1,0.31082344
8231,1,0,0.8423291
7698,0,0,0.7019478
5820,1,0,0.55170536
5771,0,0,0.78418493
60,0,0,0.44874427
5196,1,0,0.26106516
971,0,0,0.9294021
7353,0,1,0.43412697
4255,0,0,0.8788044
7622,1,0,0.45717907
5795,0,0,0.95798546
5703,0,1,0.39958945
5551,0,1,0.43687108
4162,0,0,0.7821963
5717,0,0,0.94115764
4332,1,1,0.98409027
3894,0,0,0.8861548
5135,0,0,0.88194835
5780,0,0,0.9283292
7662,1,1,0.30830473
5543,0,1,0.43108594
4298,1,0,0.06388399
4308,0,0,0.14768775
4241,0,1,0.31036913
5736,0,0,0.4236573
5619,0,0,0.95363593
5635,1,1,0.15970325
7458,1,1,0.9847366
4102,1,1,0.898278
4311,0,1,0.14187491
7483,1,1,0.3529985
5615,0,0,0.5818924
5727,0,0,0.95116365
5706,1,1,0.7407026
29,0,1,0.49690962
4145,0,1,0.6567497
4228,0,0,0.86509967
8213,0,0,0.98182184
7339,1,1,0.9884249
7310,1,1,0.3411663
5186,0,1,0.5751325
8228,0,0,0.9648719
7742,0,0,0.90514714
5690,1,0,0.14813669
65,0,0,0.94814265
7675,0,0,0.9153023
7659,1,1,0.28908458
4234,1,1,0.53106415
7344,1,1,0.98622787
4335,1,1,0.20374098
4201,1,1,0.6546092
4215,0,0,0.18712807
7330,0,0,0.93071425
5669,0,1,0.059066743
4285,0,0,0.90949297
5596,0,0,0.30046543
5715,0,0,0.93284535
7745,1,1,0.809794
4229,0,0,0.87347376
7350,1,0,0.8140408
5549,0,0,0.96900284
71,0,0,0.95353293
973,0,0,0.9057963
33,0,0,0.9418784
5776,0,0,0.96847403
4239,1,0,0.69942164
4184,0,0,0.49249712
5648,0,0,0.69320285
5750,0,0,0.9725722
5756,0,0,0.5711325
956,0,0,0.66499674
963,0,0,0.8588922
5139,1,0,0.6780125
961,0,0,0.9487301
5552,0,0,0.7336112
7700,0,0,0.69183695
5737,1,0,0.83488667
5686,0,0,0.7227287
5617,0,0,0.41567978
5653,0,1,0.0792844
4341,1,0,0.8891923
5,1,1,0.3613977
4290,0,0,0.36822686
5798,0,0,0.57643867
3877,0,0,0.6751942
976,0,0,0.81031656
7471,1,1,0.47067174
5579,0,0,0.658692
4294,0,0,0.9220742
5568,0,0,0.099674076
5565,0,0,0.42810562
7703,1,0,0.0052593052
4261,0,0,0.98874104
5691,0,0,0.6170335
4246,0,0,0.2949932
5630,0,1,0.06090772
5594,0,0,0.9367075
7473,1,0,0.11666942
5595,0,0,0.19979668
7711,1,1,0.48529902
5689,0,1,0.9479747
4044,1,1,0.08322322
5576,0,0,0.8860369
4230,1,0,0.3427908
5671,1,1,0.93934953
4265,0,0,0.9000484
5206,1,0,0.47520915
9,0,0,0.6709263
8222,0,0,0.97421974
4176,0,0,0.5516968
7466,1,1,0.30902672
960,0,0,0.75730765
5712,0,0,0.79788357
5658,0,1,0.5515779
8240,0,0,0.6394521
4219,0,1,0.28217897
7522,0,0,0.9582375
4191,0,1,0.4165971
7446,1,0,0.48448014
8349,0,1,0.918243
5644,1,0,0.9047077
4207,1,1,0.36641088
7691,1,0,0.28502232
7351,1,1,0.9421507
7325,0,0,0.9762884
7538,1,0,0.337122
4157,0,0,0.8766725
8226,0,0,0.951036
5685,0,0,0.96198523
7607,0,0,0.8228842
7544,1,0,0.08075592
5184,0,0,0.6504768
5580,0,0,0.56574774
5578,0,0,0.7291969
7,1,1,0.59795916
5173,0,0,0.8200512
4135,1,0,0.41028306
4337,0,0,0.934974
7452,0,1,0.98059005
4203,0,0,0.9526726
4309,1,1,0.103806406
5662,0,0,0.8940935
5757,0,0,0.12212363
7517,0,1,0.49900174
5559,0,0,0.70664465
7426,1,1,0.8035104
7482,1,0,0.4019655
5536,0,0,0.97351474
5753,0,0,0.24424314
8225,0,0,0.3938174
7584,0,0,0.9649531
5627,0,1,0.85816383
5698,0,0,0.05874893
7754,0,0,0.91278815
7661,1,1,0.5946326
7433,0,0,0.8477104
7449,0,1,0.26889762
