index,stereo,stereo_pred,softmax_confidence
7724,1,0,0.010099053
7340,1,0,0.006295026
8347,0,1,0.00063443184
5203,0,0,0.004542351
5591,0,0,0.0063329935
5138,1,1,0.0055784583
4039,0,0,0.009157449
5673,0,0,0.0026159286
7308,1,1,0.01430437
7454,1,0,0.008253455
7430,1,0,0.0044239466
7702,1,0,0.0031947792
70,0,1,0.007104457
5563,0,0,0.0028358996
51,0,0,0.00053891545
7561,0,0,0.0030044317
4342,1,0,0.023907512
5558,0,1,0.0005248785
7697,0,0,0.006435901
7731,1,0,0.002483159
7733,1,0,0.0036816597
998,0,0,5.0604343e-05
5676,0,0,0.0066400175
4178,0,1,0.0067715943
7617,1,0,0.011137784
7311,1,0,0.007968783
5652,1,0,0.0055392087
5199,0,0,0.005683571
7462,0,0,0.0129185915
4314,1,1,0.008275181
7738,0,0,0.010871917
7532,0,0,0.009682208
5546,0,0,0.0016913712
965,0,0,0.014243066
7665,1,0,0.007374674
5642,1,0,0.003097862
5696,0,0,0.00044074655
4270,0,0,0.008233368
4274,0,0,0.010637075
7514,1,0,0.025640696
31,0,0,0.009942114
7437,0,0,0.005943804
5794,0,0,0.004029453
7720,1,1,0.0054905415
4148,0,0,0.0045205355
7445,1,1,0.011361748
5765,0,0,0.0030333996
7629,0,0,0.0006020665
4307,0,0,0.010389894
4190,1,1,0.0035574734
4158,0,0,0.011716694
5608,0,1,0.008961886
7457,0,0,0.008980691
5188,0,0,0.009674877
7510,1,0,0.015316099
5659,0,0,0.01643601
967,0,1,0.0006045997
5649,0,0,0.00024729967
5745,0,0,0.0043363273
4266,1,0,0.008429527
5767,0,0,0.008544386
4286,0,0,0.008935839
3891,0,0,0.00015428662
7735,1,0,0.0067245364
4240,1,1,0.0006867349
8215,0,0,0.005193144
4316,0,1,0.009083599
4269,1,0,0.011231513
3893,0,0,0.0071083307
4287,1,0,0.002147615
7465,1,0,0.0053616464
5598,0,0,0.010278583
7602,1,0,0.009799659
5566,0,0,0.0043660104
4303,0,0,0.021542042
5623,0,0,0.0038134153
59,0,0,0.01295495
5169,0,0,0.017462492
4257,0,1,0.0001679063
5807,0,0,0.007877916
5133,1,1,0.006501317
4138,1,0,0.003578335
23,1,0,0.00327757
5692,0,0,0.0060715675
7416,0,0,0.012521148
5592,0,0,0.008387774
5155,0,0,0.010541856
4211,1,0,0.010705739
5731,0,0,0.0058218837
4331,0,0,0.002398014
5533,1,1,0.0037297308
5688,0,1,0.0012471676
4119,0,0,0.011572123
5632,0,0,0.0039756
8223,0,0,0.007907213
7415,0,0,0.0048844516
7493,1,0,0.008676976
5813,1,0,0.00768736
8232,0,0,0.0117560625
4339,0,0,0.011035026
49,1,1,0.00084114075
4109,1,1,0.004525274
7714,1,1,0.0010383129
7451,0,1,0.00092062354
955,0,0,0.016929269
5684,1,0,0.00078886753
10,1,0,0.013110698
5640,1,0,0.0004848838
4172,1,0,0.0041201115
5785,0,0,0.0032201111
5650,0,0,0.010305226
7741,1,0,0.0065169632
5165,1,0,0.006762088
7352,0,0,0.003273487
7639,0,0,0.012872845
7581,1,0,0.012454748
7613,1,0,0.010760606
975,1,1,0.007158011
