index,stereo,stereo_pred,softmax_confidence
7724,1,0,0.5512215
7340,1,1,0.8749724
8347,0,0,0.04793527
5203,0,0,0.9262149
5591,0,0,0.63509977
5138,1,0,0.47613308
4039,0,0,0.50729966
5673,0,1,0.12357655
7308,1,0,0.307082
7454,1,0,0.73792887
7430,1,1,0.86815983
7702,1,1,0.46692166
70,0,0,0.88712484
5563,0,0,0.5636262
51,0,0,0.77325094
7561,0,0,0.9556314
4342,1,1,0.79772997
5558,0,1,0.4259242
7697,0,0,0.88181937
7731,1,1,0.7643992
7733,1,0,0.08627498
998,0,0,0.78306556
5676,0,0,0.8266934
4178,0,0,0.00085181
7617,1,1,0.5392188
7311,1,0,0.34551942
5652,1,1,0.8746239
5199,0,1,0.31416306
7462,0,0,0.79952264
4314,1,1,0.5604729
7738,0,0,0.88044775
7532,0,0,0.59579086
5546,0,0,0.6886084
965,0,0,0.6857984
7665,1,1,0.767027
5642,1,1,0.8488381
5696,0,0,0.8271402
4270,0,1,0.34060654
4274,0,0,0.9207156
7514,1,0,0.78694636
31,0,0,0.70644224
7437,0,0,0.43745476
5794,0,0,0.7354182
7720,1,1,0.71628463
4148,0,1,0.7421622
7445,1,1,0.3869473
5765,0,0,0.9071358
7629,0,0,0.9617561
4307,0,0,0.63528275
4190,1,1,0.28573117
4158,0,0,0.7642448
5608,0,1,0.6276537
7457,0,0,0.14682773
5188,0,1,0.5709021
7510,1,0,0.11878246
5659,0,0,0.65407825
967,0,0,0.6704327
5649,0,0,0.5967263
5745,0,0,0.68271047
4266,1,0,0.016759934
5767,0,0,0.5660058
4286,0,0,0.6121963
3891,0,1,0.7562293
7735,1,1,0.76134765
4240,1,1,0.38419425
8215,0,0,0.9332737
4316,0,1,0.092817634
4269,1,1,0.5831641
3893,0,1,0.5294893
4287,1,1,0.7170223
7465,1,0,0.6989916
5598,0,1,0.13075134
7602,1,0,0.3861805
5566,0,0,0.39543816
4303,0,0,0.8736625
5623,0,0,0.15581861
59,0,0,0.6438091
5169,0,0,0.7960979
4257,0,1,0.36751735
5807,0,0,0.8230726
5133,1,0,0.30483487
4138,1,0,0.71291405
23,1,1,0.29269746
5692,0,0,0.78534293
7416,0,0,0.9626708
5592,0,1,0.84102535
5155,0,0,0.31773022
4211,1,1,0.83933294
5731,0,0,0.7768878
4331,0,1,0.8228575
5533,1,1,0.7863704
5688,0,0,0.7096143
4119,0,0,0.86337775
5632,0,0,0.35948232
8223,0,0,0.9392448
7415,0,0,0.6448343
7493,1,1,0.4579877
5813,1,0,0.60468733
8232,0,0,0.9199023
4339,0,0,0.94618154
49,1,1,0.6737733
4109,1,1,0.48068765
7714,1,1,0.76890004
7451,0,0,0.91810644
955,0,0,0.9033197
5684,1,0,0.7018943
10,1,0,0.31421795
5640,1,1,0.7504662
4172,1,0,0.71132547
5785,0,0,0.90480113
5650,0,0,0.78303003
7741,1,1,0.8841596
5165,1,1,0.83177924
7352,0,1,0.54688835
7639,0,0,0.90621877
7581,1,0,0.037466615
7613,1,1,0.40544224
975,1,1,0.82046974
962,0,0,0.5676558
5550,0,0,0.82387125
7695,1,0,0.9343771
7328,0,0,0.09702721
7706,1,1,0.7844648
5695,0,0,0.44792476
4272,1,0,0.8017198
4245,0,1,0.16010356
7507,0,0,0.82081366
4279,0,0,0.6051395
4289,0,0,0.9369012
5156,0,0,0.42072073
5768,0,0,0.8756405
5541,0,1,0.29266044
5554,0,0,0.2954754
4288,0,0,0.6361051
5200,0,0,0.82528746
957,1,1,0.5718439
7356,1,1,0.8649718
5163,0,0,0.9538929
4276,0,0,0.44800064
5600,0,0,0.7886511
4198,1,1,0.18253756
39,0,1,0.15845078
30,0,0,0.9394753
7358,1,1,0.8245793
4101,0,0,0.7646613
54,0,0,0.7030422
7644,0,1,0.03811261
7654,1,1,0.41193178
5634,1,0,0.35384473
7732,0,0,0.6651813
7670,1,1,0.5277711
3,1,1,0.5742198
7678,1,1,0.64037585
4224,0,0,0.922716
7679,1,1,0.10524574
7540,1,1,0.7862631
7324,0,0,0.9119185
7417,1,1,0.14456019
4154,0,0,0.9340633
58,1,1,0.8097637
63,0,0,0.92582
5531,0,0,0.77161646
4313,0,1,0.09706783
997,1,1,0.80003947
5607,0,0,0.057137012
8251,0,1,0.18909946
4195,0,0,0.9461372
5583,0,0,0.5040037
4322,0,0,0.86108005
5804,0,0,0.92370725
4217,0,0,0.773492
4299,1,1,0.5211319
4312,0,0,0.0985769
4330,0,1,0.4525473
4253,0,0,0.5964128
66,0,0,0.84135973
4260,0,0,0.48561284
