index,stereo,stereo_pred,softmax_confidence
7724,1,0,0.4525996
7340,1,1,0.95549655
8347,0,0,0.5734104
5203,0,0,0.9128779
5591,0,0,0.8274476
5138,1,0,0.67815304
4039,0,0,0.6149672
5673,0,0,0.62782276
7308,1,0,0.15908906
7454,1,0,0.7844486
7430,1,1,0.95032084
7702,1,1,0.6854813
70,0,0,0.9092001
5563,0,0,0.74452555
51,0,0,0.7768898
7561,0,0,0.9614041
4342,1,1,0.80808806
5558,0,1,0.33691582
7697,0,0,0.9421377
7731,1,1,0.9386063
7733,1,1,0.46655345
998,0,0,0.9057544
5676,0,0,0.89091337
4178,0,1,0.48500887
7617,1,1,0.813799
7311,1,1,0.25530425
5652,1,1,0.8888476
5199,0,1,0.40841362
7462,0,0,0.90882945
4314,1,1,0.74247146
7738,0,0,0.9627602
7532,0,0,0.85781074
5546,0,0,0.8952643
965,0,0,0.79415095
7665,1,1,0.89972806
5642,1,1,0.94796634
5696,0,0,0.78375614
4270,0,1,0.5965345
4274,0,0,0.9588208
7514,1,0,0.6837709
31,0,0,0.76829684
7437,0,1,0.2762746
5794,0,0,0.78936046
7720,1,1,0.917048
4148,0,0,0.5779362
7445,1,1,0.6949398
5765,0,0,0.92544806
7629,0,0,0.95353466
4307,0,0,0.7671279
4190,1,1,0.35214356
4158,0,0,0.8264334
5608,0,0,0.20460054
7457,0,1,0.22767606
5188,0,1,0.82914865
7510,1,0,0.4994015
5659,0,0,0.8472615
967,0,0,0.8307668
5649,0,0,0.24763703
5745,0,0,0.80493134
4266,1,1,0.058319896
5767,0,0,0.56356585
4286,0,0,0.35582146
3891,0,1,0.9086766
7735,1,1,0.75655556
4240,1,1,0.5407419
8215,0,0,0.94339246
4316,0,0,0.15303078
4269,1,1,0.7605988
3893,0,1,0.014469266
4287,1,1,0.88541186
7465,1,0,0.66241384
5598,0,0,0.579432
7602,1,0,0.92340887
5566,0,0,0.50023663
4303,0,0,0.5856074
5623,0,0,0.6422062
59,0,0,0.39334342
5169,0,0,0.20991457
4257,0,1,0.6406914
5807,0,0,0.90098095
5133,1,0,0.63878274
4138,1,0,0.64350384
23,1,1,0.4789752
5692,0,0,0.9014721
7416,0,0,0.9675883
5592,0,1,0.84562135
5155,0,0,0.8329975
4211,1,1,0.95597494
5731,0,0,0.8347813
4331,0,1,0.93644845
5533,1,1,0.9494709
5688,0,0,0.71588105
4119,0,0,0.9245545
5632,0,0,0.65981793
8223,0,0,0.9342137
7415,0,0,0.45905164
7493,1,1,0.12469956
5813,1,0,0.62048024
8232,0,0,0.92364216
4339,0,0,0.9705057
49,1,1,0.9014097
4109,1,1,0.69003856
7714,1,1,0.9312935
7451,0,0,0.90991867
955,0,0,0.9293313
5684,1,1,0.26676872
10,1,1,0.568964
5640,1,1,0.9062109
4172,1,0,0.11160892
5785,0,0,0.84386647
5650,0,0,0.106092006
7741,1,1,0.9594321
5165,1,1,0.9343761
7352,0,1,0.44917166
7639,0,0,0.9508234
7581,1,0,0.6234214
7613,1,1,0.64833033
975,1,1,0.8526057
962,0,0,0.76981294
5550,0,0,0.9086409
7695,1,0,0.9700125
7328,0,0,0.7771404
7706,1,1,0.9273877
5695,0,0,0.06735587
4272,1,0,0.92095894
4245,0,0,0.07291216
7507,0,0,0.94183016
4279,0,0,0.06886098
4289,0,0,0.95841277
5156,0,1,0.0867317
5768,0,0,0.9196687
5541,0,1,0.6730143
5554,0,0,0.8641361
4288,0,0,0.569317
5200,0,0,0.94744915
957,1,1,0.07633999
7356,1,1,0.9508752
5163,0,0,0.96252465
4276,0,0,0.79461443
5600,0,0,0.927861
4198,1,1,0.6197871
39,0,1,0.87373304
30,0,0,0.721364
7358,1,1,0.91284156
4101,0,0,0.79236495
54,0,1,0.041531086
7644,0,0,0.058578968
7654,1,1,0.69175684
5634,1,0,0.084234625
7732,0,0,0.7398385
7670,1,1,0.59611464
3,1,1,0.71724284
7678,1,1,0.88815176
4224,0,0,0.94757664
7679,1,1,0.4247013
7540,1,1,0.92046094
7324,0,0,0.95805454
7417,1,1,0.25288823
4154,0,0,0.95117736
58,1,1,0.9529148
63,0,0,0.9466344
5531,0,0,0.8221835
4313,0,0,0.31769392
997,1,1,0.8121549
5607,0,0,0.57702255
