index,stereo,stereo_pred,stereo_soft,stereo_pred_soft
7724,1,0,0.7310585786300049,0.09877493
7340,1,1,0.9525741268224334,0.9484381
8347,0,0,0.0474258731775667,0.30083132
5203,0,0,0.0474258731775667,0.05603571
5591,0,0,0.0474258731775667,0.14503679
5138,1,0,0.9525741268224334,0.32422543
4039,0,0,0.2689414213699951,0.22876112
5673,0,1,0.2689414213699951,0.69591975
7308,1,1,0.9525741268224334,0.6155918
7454,1,0,0.7310585786300049,0.18696547
7430,1,1,0.9525741268224334,0.8972531
7702,1,1,0.9525741268224334,0.6755105
70,0,0,0.2689414213699951,0.082965076
5563,0,0,0.0474258731775667,0.13253392
51,0,0,0.0474258731775667,0.047303613
7561,0,0,0.0474258731775667,0.05824766
4342,1,1,0.9525741268224334,0.88607633
5558,0,1,0.0474258731775667,0.5646157
7697,0,0,0.0474258731775667,0.090667576
7731,1,1,0.9525741268224334,0.85871863
7733,1,0,0.9525741268224334,0.40067312
998,0,0,0.2689414213699951,0.13893008
5676,0,0,0.0474258731775667,0.13137096
4178,0,0,0.2689414213699951,0.41930488
7617,1,1,0.9525741268224334,0.5784585
7311,1,0,0.9525741268224334,0.41277567
5652,1,1,0.9525741268224334,0.94905454
5199,0,0,0.0474258731775667,0.273001
7462,0,0,0.0474258731775667,0.057925288
4314,1,1,0.9525741268224334,0.8149194
7738,0,0,0.0474258731775667,0.22892667
7532,0,0,0.0474258731775667,0.2688056
5546,0,0,0.0474258731775667,0.10349648
965,0,0,0.0474258731775667,0.2891777
7665,1,1,0.9525741268224334,0.96362233
5642,1,1,0.9525741268224334,0.94865435
5696,0,0,0.0474258731775667,0.08071
4270,0,1,0.2689414213699951,0.7482396
4274,0,0,0.0474258731775667,0.069390975
7514,1,0,0.7310585786300049,0.07919724
31,0,0,0.0474258731775667,0.14291385
7437,0,0,0.2689414213699951,0.31925696
5794,0,0,0.0474258731775667,0.12590352
7720,1,1,0.9525741268224334,0.7650456
4148,0,0,0.0474258731775667,0.29332927
7445,1,1,0.9525741268224334,0.65685517
5765,0,0,0.0474258731775667,0.098749645
7629,0,0,0.0474258731775667,0.056233514
4307,0,0,0.2689414213699951,0.22546175
4190,1,0,0.9525741268224334,0.35163608
4158,0,0,0.2689414213699951,0.27969858
5608,0,0,0.0474258731775667,0.32341203
7457,0,0,0.0474258731775667,0.1224026
5188,0,0,0.0474258731775667,0.24922317
7510,1,0,0.9525741268224334,0.4183239
5659,0,0,0.0474258731775667,0.29060343
967,0,0,0.0474258731775667,0.104729064
5649,0,0,0.0474258731775667,0.094243996
5745,0,0,0.0474258731775667,0.17381299
4266,1,0,0.7310585786300049,0.22422364
5767,0,1,0.0474258731775667,0.68053
4286,0,0,0.0474258731775667,0.34018984
3891,0,1,0.2689414213699951,0.90638524
7735,1,1,0.7310585786300049,0.7820409
4240,1,1,0.7310585786300049,0.6933723
8215,0,0,0.0474258731775667,0.016054623
4316,0,0,0.2689414213699951,0.34071139
4269,1,0,0.9525741268224334,0.42860737
3893,0,0,0.2689414213699951,0.3949663
4287,1,1,0.9525741268224334,0.7187424
7465,1,0,0.7310585786300049,0.13268527
5598,0,0,0.0474258731775667,0.28630665
7602,1,0,0.7310585786300049,0.19559376
5566,0,0,0.0474258731775667,0.17911512
4303,0,0,0.0474258731775667,0.19414935
5623,0,0,0.0474258731775667,0.1479206
59,0,0,0.0474258731775667,0.15769996
5169,0,0,0.0474258731775667,0.22567645
4257,0,0,0.2689414213699951,0.44898704
5807,0,0,0.0474258731775667,0.1289681
5133,1,1,0.9525741268224334,0.5153171
4138,1,0,0.9525741268224334,0.35195717
23,1,1,0.7310585786300049,0.7381289
5692,0,0,0.2689414213699951,0.13733119
7416,0,0,0.0474258731775667,0.058051918
5592,0,1,0.0474258731775667,0.542367
5155,0,0,0.0474258731775667,0.15297677
4211,1,1,0.9525741268224334,0.9642187
5731,0,0,0.0474258731775667,0.115910895
4331,0,1,0.2689414213699951,0.90639716
5533,1,1,0.9525741268224334,0.8889248
5688,0,0,0.0474258731775667,0.109767534
4119,0,0,0.2689414213699951,0.06554456
5632,0,0,0.0474258731775667,0.19274572
8223,0,0,0.0474258731775667,0.0469087
7415,0,0,0.0474258731775667,0.24701291
7493,1,0,0.9525741268224334,0.2047037
5813,1,0,0.9525741268224334,0.14730164
8232,0,0,0.0474258731775667,0.08012901
4339,0,0,0.0474258731775667,0.057626884
49,1,1,0.9525741268224334,0.75577575
4109,1,1,0.9525741268224334,0.50336486
7714,1,1,0.9525741268224334,0.7853111
7451,0,0,0.0474258731775667,0.06568499
955,0,0,0.0474258731775667,0.098754875
5684,1,0,0.9525741268224334,0.13715604
10,1,0,0.7310585786300049,0.20468602
5640,1,1,0.9525741268224334,0.9180306
4172,1,0,0.7310585786300049,0.44857046
5785,0,0,0.0474258731775667,0.093121506
5650,0,0,0.0474258731775667,0.2939833
7741,1,1,0.7310585786300049,0.9288434
5165,1,1,0.9525741268224334,0.9562388
7352,0,0,0.2689414213699951,0.30910137
7639,0,0,0.0474258731775667,0.0894601
7581,1,0,0.7310585786300049,0.24595779
7613,1,1,0.9525741268224334,0.6438574
975,1,1,0.9525741268224334,0.6884368
962,0,0,0.0474258731775667,0.092752226
5550,0,0,0.0474258731775667,0.041571837
7695,1,0,0.7310585786300049,0.037334736
7328,0,0,0.0474258731775667,0.23777142
7706,1,1,0.9525741268224334,0.87803847
5695,0,0,0.0474258731775667,0.26963112
4272,1,0,0.9525741268224334,0.15180084
4245,0,0,0.0474258731775667,0.30948254
7507,0,0,0.2689414213699951,0.1119824
4279,0,0,0.0474258731775667,0.30727217
4289,0,0,0.0474258731775667,0.077226646
5156,0,0,0.2689414213699951,0.408336
5768,0,0,0.0474258731775667,0.10417477
5541,0,0,0.0474258731775667,0.34233725
5554,0,0,0.0474258731775667,0.13344783
4288,0,0,0.2689414213699951,0.30702618
5200,0,0,0.0474258731775667,0.117155306
957,1,1,0.9525741268224334,0.73017234
7356,1,1,0.9525741268224334,0.9669223
5163,0,0,0.0474258731775667,0.08043143
4276,0,0,0.2689414213699951,0.23884392
5600,0,0,0.0474258731775667,0.085332714
4198,1,0,0.9525741268224334,0.3013285
39,0,1,0.2689414213699951,0.59967846
30,0,0,0.0474258731775667,0.04461572
7358,1,1,0.9525741268224334,0.9232974
4101,0,0,0.0474258731775667,0.13761446
54,0,0,0.0474258731775667,0.090959586
7644,0,0,0.0474258731775667,0.3583779
7654,1,1,0.9525741268224334,0.820229
5634,1,1,0.9525741268224334,0.69980985
7732,0,0,0.0474258731775667,0.1770303
7670,1,0,0.9525741268224334,0.38883612
3,1,1,0.7310585786300049,0.8360259
7678,1,1,0.9525741268224334,0.87165344
4224,0,0,0.0474258731775667,0.015019018
7679,1,0,0.9525741268224334,0.18654695
7540,1,1,0.9525741268224334,0.8705643
7324,0,0,0.0474258731775667,0.079716936
7417,1,0,0.9525741268224334,0.2597568
4154,0,0,0.0474258731775667,0.056199808
58,1,1,0.9525741268224334,0.94420475
63,0,0,0.0474258731775667,0.048569873
5531,0,0,0.0474258731775667,0.07767127
4313,0,0,0.2689414213699951,0.33909446
997,1,1,0.9525741268224334,0.9539507
5607,0,0,0.0474258731775667,0.21406904
8251,0,0,0.0474258731775667,0.14550143
4195,0,0,0.0474258731775667,0.046571326
5583,0,0,0.0474258731775667,0.20769936
4322,0,0,0.0474258731775667,0.088666104
5804,0,0,0.0474258731775667,0.08781213
4217,0,0,0.0474258731775667,0.106693745
4299,1,1,0.7310585786300049,0.75387007
4312,0,0,0.2689414213699951,0.30662516
4330,0,1,0.2689414213699951,0.6219258
4253,0,0,0.0474258731775667,0.35372266
66,0,0,0.0474258731775667,0.076070115
4260,0,0,0.0474258731775667,0.4091901
67,1,0,0.9525741268224334,0.43176594
5624,0,1,0.0474258731775667,0.61958337
12,0,0,0.0474258731775667,0.13217476
7333,1,1,0.9525741268224334,0.67533666
5679,0,1,0.2689414213699951,0.9107289
5537,1,0,0.7310585786300049,0.055178735
5637,1,0,0.9525741268224334,0.14766204
5702,0,0,0.0474258731775667,0.19700411
5805,0,0,0.2689414213699951,0.116586655
4164,1,1,0.7310585786300049,0.7687856
4292,1,1,0.7310585786300049,0.66462225
7359,1,1,0.9525741268224334,0.5890391
5751,0,0,0.0474258731775667,0.15542614
7685,0,1,0.2689414213699951,0.84156734
4179,1,1,0.9525741268224334,0.9329674
7317,0,0,0.0474258731775667,0.10139201
7335,0,1,0.2689414213699951,0.66369146
7472,1,0,0.9525741268224334,0.4083118
4326,1,1,0.9525741268224334,0.94444597
5729,0,1,0.2689414213699951,0.77542233
2,0,0,0.0474258731775667,0.27180862
5586,0,0,0.0474258731775667,0.026752641
5655,0,0,0.0474258731775667,0.46707305
5661,0,0,0.0474258731775667,0.077269115
7490,1,1,0.9525741268224334,0.56772375
4188,1,0,0.7310585786300049,0.32533795
7516,0,0,0.0474258731775667,0.25190508
8218,0,0,0.0474258731775667,0.0649476
7468,0,0,0.0474258731775667,0.07927477
8217,0,0,0.0474258731775667,0.039389968
5152,0,0,0.0474258731775667,0.111707866
5180,0,0,0.0474258731775667,0.16259795
5268,1,1,0.9525741268224334,0.7999067
5735,0,0,0.0474258731775667,0.039836325
5587,0,0,0.0474258731775667,0.12752154
4278,1,1,0.7310585786300049,0.5511169
5683,0,0,0.0474258731775667,0.116970465
5677,1,1,0.9525741268224334,0.96704626
8230,0,0,0.0474258731775667,0.07071274
8233,0,0,0.0474258731775667,0.17947319
4223,0,0,0.0474258731775667,0.09370313
7439,1,1,0.9525741268224334,0.65195197
7526,1,0,0.7310585786300049,0.3587724
7650,0,1,0.0474258731775667,0.63677114
4227,0,0,0.0474258731775667,0.0792935
7683,1,1,0.9525741268224334,0.6217834
7707,1,0,0.9525741268224334,0.13507625
3890,1,1,0.7310585786300049,0.5043342
5697,0,1,0.2689414213699951,0.7768341
55,0,1,0.0474258731775667,0.63969815
4193,0,0,0.0474258731775667,0.41773418
4046,0,0,0.0474258731775667,0.24129891
5179,1,1,0.7310585786300049,0.63996375
25,0,0,0.0474258731775667,0.043242782
951,1,1,0.9525741268224334,0.9706966
7511,0,0,0.0474258731775667,0.0897822
44,1,0,0.7310585786300049,0.43880343
5694,0,0,0.0474258731775667,0.348802
5778,0,0,0.0474258731775667,0.07586796
7500,1,1,0.9525741268224334,0.71679205
5809,0,1,0.2689414213699951,0.60731643
7708,1,0,0.9525741268224334,0.4613283
7460,0,0,0.0474258731775667,0.07149988
5646,0,0,0.0474258731775667,0.23058793
