index,stereo,stereo_pred,softmax_confidence
7724,1,0,0.61716425
7340,1,1,0.8275132
8347,0,0,0.60190916
5203,0,0,0.8810911
5591,0,0,0.56784236
5138,1,1,0.27126577
4039,0,1,0.26674116
5673,0,0,0.39119646
7308,1,0,0.5472362
7454,1,0,0.9121672
7430,1,1,0.8159479
7702,1,1,0.0895806
70,0,0,0.922167
5563,0,0,0.9293506
51,0,0,0.8566768
7561,0,0,0.8615459
4342,1,1,0.2903901
5558,0,0,0.64542794
7697,0,0,0.75954044
7731,1,1,0.31186748
7733,1,0,0.5739354
998,0,0,0.7486578
5676,0,0,0.75647956
4178,0,0,0.1459645
7617,1,0,0.8649771
7311,1,0,0.8950095
5652,1,1,0.61723495
5199,0,1,0.022407383
7462,0,0,0.83109397
4314,1,1,0.48653722
7738,0,0,0.8094181
7532,0,0,0.6726581
5546,0,0,0.8278044
965,0,0,0.76020974
7665,1,1,0.7216802
5642,1,1,0.5130042
5696,0,0,0.8947489
4270,0,1,0.048975445
4274,0,0,0.9502279
7514,1,0,0.9074656
31,0,0,0.53597355
7437,0,0,0.8251809
5794,0,0,0.88787127
7720,1,0,0.061415855
4148,0,0,0.15275154
7445,1,1,0.059975807
5765,0,0,0.97368485
7629,0,0,0.9022078
4307,0,0,0.7635038
4190,1,0,0.5328821
4158,0,0,0.85121524
5608,0,0,0.22193336
7457,0,1,0.22619522
5188,0,1,0.715148
7510,1,1,0.14182204
5659,0,0,0.87965804
967,0,0,0.44335946
5649,0,0,0.90499985
5745,0,0,0.9465238
4266,1,0,0.053853218
5767,0,0,0.9620802
4286,0,1,0.039367706
3891,0,0,0.14305484
7735,1,1,0.55457413
4240,1,1,0.090921044
8215,0,0,0.9330066
4316,0,0,0.066452
4269,1,1,0.2523496
3893,0,0,0.055554572
4287,1,1,0.7014193
7465,1,0,0.49611652
5598,0,0,0.5409882
7602,1,0,0.91238016
5566,0,0,0.8561581
4303,0,0,0.9686883
5623,0,0,0.7815772
59,0,0,0.8180208
5169,0,0,0.55052483
4257,0,0,0.22314242
5807,0,0,0.9340874
5133,1,0,0.33105806
4138,1,0,0.50689924
23,1,0,0.16526076
5692,0,0,0.8491148
7416,0,0,0.70363665
5592,0,1,0.19822511
5155,0,0,0.49918947
4211,1,1,0.8178252
5731,0,0,0.9104623
4331,0,1,0.72822773
5533,1,1,0.17242247
5688,0,0,0.8721266
4119,0,0,0.9533856
5632,0,0,0.6706524
8223,0,0,0.9320937
7415,0,1,0.33836454
7493,1,0,0.4616506
5813,1,0,0.9609482
8232,0,0,0.9281705
4339,0,0,0.8461448
49,1,1,0.10689834
4109,1,1,0.62106276
7714,1,0,0.44563463
7451,0,0,0.89271235
955,0,0,0.952179
5684,1,0,0.82683945
10,1,1,0.065927505
5640,1,1,0.009980828
4172,1,0,0.55269575
5785,0,0,0.94330335
5650,0,0,0.96250284
7741,1,1,0.80224216
5165,1,1,0.5669813
7352,0,0,0.31068218
7639,0,0,0.9309615
7581,1,0,0.8198062
7613,1,0,0.7791664
975,1,1,0.8331832
962,0,0,0.72465897
5550,0,0,0.9279103
7695,1,0,0.9774058
7328,0,1,0.107352495
7706,1,1,0.020259589
5695,0,0,0.7815488
4272,1,0,0.914061
4245,0,0,0.33312786
7507,0,0,0.71418357
4279,0,0,0.57008374
4289,0,0,0.8955337
5156,0,0,0.0155132115
5768,0,0,0.971161
5541,0,1,0.43796274
5554,0,0,0.89054793
4288,0,0,0.6244708
5200,0,0,0.94947
957,1,0,0.4010799
7356,1,1,0.84438986
5163,0,0,0.9458748
4276,0,0,0.76126194
5600,0,0,0.71974146
4198,1,0,0.21710214
39,0,0,0.7035091
30,0,0,0.82001615
7358,1,1,0.34829804
4101,0,0,0.8828998
54,0,1,0.103558004
7644,0,0,0.7021797
7654,1,0,0.33526158
5634,1,0,0.39263612
7732,0,0,0.61478496
7670,1,0,0.115301795
3,1,1,0.65046453
7678,1,1,0.028277697
4224,0,0,0.9315908
7679,1,0,0.77011013
7540,1,1,0.11976197
7324,0,0,0.4103837
7417,1,1,0.38292697
4154,0,0,0.95919895
58,1,1,0.7557759
63,0,0,0.8933925
