index,stereo,stereo_pred,softmax_confidence
7724,1,0,0.48808226
7340,1,1,0.7563579
8347,0,1,0.122977495
5203,0,0,0.69141483
5591,0,0,0.39321747
5138,1,1,0.41473317
4039,0,1,0.46837518
5673,0,0,0.4999367
7308,1,0,0.16350925
7454,1,0,0.82622945
7430,1,1,0.7084383
7702,1,1,0.40874398
70,0,0,0.75358963
5563,0,0,0.80376506
51,0,0,0.6522542
7561,0,0,0.688713
4342,1,1,0.15056875
5558,0,0,0.41093323
7697,0,0,0.6783701
7731,1,1,0.3422091
7733,1,0,0.18596798
998,0,0,0.69260144
5676,0,0,0.81156605
4178,0,1,0.19793728
7617,1,0,0.78066707
7311,1,0,0.6460999
5652,1,1,0.122285604
5199,0,1,0.29319564
7462,0,0,0.6931603
4314,1,1,0.59450424
7738,0,0,0.6680194
7532,0,0,0.56626093
5546,0,0,0.75801486
965,0,0,0.57213557
7665,1,1,0.68529844
5642,1,1,0.3932043
5696,0,0,0.6437185
4270,0,1,0.095102936
4274,0,0,0.87266076
7514,1,0,0.77143633
31,0,0,0.2673725
7437,0,0,0.39686692
5794,0,0,0.7313868
7720,1,1,0.23612443
4148,0,0,0.4472841
7445,1,1,0.10836148
5765,0,0,0.8948261
7629,0,0,0.69152987
4307,0,0,0.38616213
4190,1,0,0.45705342
4158,0,0,0.5373843
5608,0,0,0.26591086
7457,0,1,0.40434292
5188,0,1,0.5667143
7510,1,0,0.29244065
5659,0,0,0.61570454
967,0,0,0.10852265
5649,0,0,0.5375408
5745,0,0,0.8730866
4266,1,0,0.11278093
5767,0,0,0.79815114
4286,0,1,0.37147593
3891,0,1,0.25030863
7735,1,1,0.5435649
4240,1,1,0.021340817
8215,0,0,0.7871439
4316,0,1,0.42977858
4269,1,1,0.23456743
3893,0,0,0.20998886
4287,1,1,0.28163847
7465,1,0,0.22818072
5598,0,0,0.679969
7602,1,0,0.6003518
5566,0,0,0.7120545
4303,0,0,0.904348
5623,0,0,0.6238276
59,0,0,0.6118185
5169,0,0,0.16976996
4257,0,1,0.023317995
5807,0,0,0.8135936
5133,1,1,0.1364382
4138,1,0,0.017697334
23,1,0,0.091219574
5692,0,0,0.87025213
7416,0,0,0.49037167
5592,0,0,0.24661759
5155,0,0,0.7077256
4211,1,1,0.77687454
5731,0,0,0.7101829
4331,0,1,0.6957483
5533,1,1,0.5420724
5688,0,0,0.7126883
4119,0,0,0.82392406
5632,0,0,0.2390559
